09001;96.13;29
09006;96.13;62
09007;96.13;51
09010;96.13;40
09011;96.13;76
09013;96.13;47
09021;96.13;46
09022;96.13;74
09027;96.13;45
09033;96.13;81
09036;96.13;34
09039;96.13;68
09041;96.13;32
09044;96.13;56
09046;96.13;20
09047;96.13;56
09050;96.13;52
09052;96.13;27
09055;96.13;48
09062;96.13;40
09066;96.13;54
09068;96.13;23
09070;96.13;30
09071;96.13;43
09076;96.13;25
09077;96.13;27
09078;96.13;31
09079;96.13;48
09082;96.13;37
09083;96.13;26
09088;96.13;56
09090;96.13;48
09094;96.13;52
09095;96.13;96
09100;96.13;55
09101;96.13;78
09102;96.13;36
09104;96.13;43
09110;96.13;83
09119;96.13;41
09120;96.13;43
09122;96.13;82
09123;96.13;42
09127;96.13;45
09129;96.13;94
09130;96.13;67
09133;96.13;47
09135;96.13;42
09139;96.13;94
09143;96.13;29
09144;96.13;44
09149;96.13;61
09155;96.13;29
09159;96.13;73
09160;96.13;95
09167;96.13;54
09176;96.13;53
09178;96.13;36
09179;96.13;45
09182;96.13;86
09183;96.13;44
09184;96.13;9
09190;96.13;84
09191;96.13;40
09192;96.13;66
09195;96.13;51
09200;96.13;47
09201;96.13;26
09202;96.13;22
09206;96.13;58
09220;96.13;94
09223;96.13;42
09225;96.13;81
09226;96.13;56
09230;96.13;27
09231;96.13;53
09236;96.13;36
09239;96.13;51
09242;96.13;70
09243;96.13;84
09244;96.13;47
09247;96.13;21
09248;96.13;92
09249;96.13;55
09255;96.13;81
09257;96.13;87
09265;96.13;42
09269;96.13;37
09273;96.13;55
09280;96.13;33
09283;96.13;45
09292;96.13;70
09295;96.13;52
09298;96.13;73
09302;96.13;96
09303;96.13;80
09306;96.13;94
09308;96.13;65
09310;96.13;15
09311;96.13;65
09312;96.13;94
09317;96.13;20
09318;96.13;56
09323;96.13;64
09327;96.13;28
09328;96.13;67
09334;96.13;50
09335;96.13;95
09340;96.13;65
09351;96.13;62
09353;96.13;93
09354;96.13;40
09355;96.13;85
09356;96.13;57
09360;96.13;29
09365;96.13;26
09366;96.13;80
09368;96.13;26
09375;96.13;44
09378;96.13;34
09380;96.13;69
09381;96.13;27
09382;96.13;26
09386;96.13;78
09388;96.13;34
09389;96.13;72
09392;96.13;51
09398;96.13;67
09407;96.13;27
09408;96.13;43
09416;96.13;46
09417;96.13;39
09418;96.13;81
09419;96.13;67
09422;96.13;24
09423;96.13;25
09424;96.13;37
09429;96.13;57
09430;96.13;28
09433;96.13;52
09440;96.13;86
09441;96.13;95
09444;96.13;61
09445;96.13;45
09446;96.13;9
09447;96.13;44
09450;96.13;24
09454;96.13;43
09455;96.13;46
09464;96.13;46
09467;96.13;74
09472;96.13;54
09473;96.13;94
09476;96.13;69
09478;96.13;47
09482;96.13;32
09485;96.13;57
31002;96.13;2
